Prénom;Nom;Spécialité Médicale;Horaires;Source Horaires;URL Source Horaires;Statut Horaires;Commentaire Horaires
PHILIPPE;LABATUT;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
MAYLIS;LABARTHE-BEELE;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
LAETITIA;LABASTIRE;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
RENE PIERRE;LABARRIERE;Médecine Générale;binet medicaux sont ouvertes de 8h à 19h du lundi a;www.doctolib.fr;https://www.doctolib.fr/medecin-generaliste/annecy-le-vieux/rene-pierre-labarriere;Trouvé;Trouvé via snippet
LOUISE;LAFONT;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
EVE;LABARRE-VANDERMEERSCH;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
MEHDI;LAFI;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
AUDREY;LAFITTE;Médecine Générale;Lundi : 08h00 - 12h30, 14h00 - 19h00 | Mardi : 08h00 - 13h00 | Mercredi : 08h00 - 12h30, 14h00 - 19h00;www.doctolib.fr;https://www.doctolib.fr/medecin-generaliste/sainte-luce-sur-loire/audrey-lafitte;Trouvé;Trouvé via snippet
CECILE;LAFON;Médecine Générale;Lundi 08:30-12:30 | Mardi 08:30-12:30 | Mercredi 08:30-12:30 | Jeudi 08:30-12:30 | Vendredi 08:30-12:30 | Samedi Fermé | Dimanche Fermé;www.horairesdouverture24.fr;https://www.horairesdouverture24.fr/filiale/Paris-Dr.+Mich?le+Lafond+-+M?decine+g?n?rale-505203B.html;Trouvé;Trouvé sur la page
ADRIEN;KUNTZMANN;Médecine Générale;Lundi 16:00-19:00 | Mardi 08:00-11:00 | Mercredi 16:00-19:00 | Jeudi 08:00-11:00 | Vendredi 16:00-19:00 | Samedi Fermé | Dimanche Fermé;www.horairesdouverture24.fr;https://www.horairesdouverture24.fr/filiale/Fegersheim-Dr.+Jacques+Jean+-+M?decine+g?n?rale+(Consultation+libre)-498028F.html;Trouvé;Trouvé sur la page
VINCENT;LABENNE;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
CYRIL;KUNTZELMANN;Médecine Générale;Lundi 10:00-11:55 et 15:00-19:30 | Mardi 10:00-11:55 et 15:00-19:30 | Mercredi 10:00-12:00 et 15:00-19:30 | Jeudi 10:00-11:55 et 15:00-19:30 | Vendredi 10:00-11:55 et 15:00-19:30 | Samedi Fermé | Dimanche Fermé;www.horairesdouverture24.fr;https://www.horairesdouverture24.fr/filiale/Montpellier-Dr+Cyril+Kuntzelmann+-+M?decin+g?n?raliste-5391771Q.html;Trouvé;Trouvé sur la page
SULEYMAN;KURT;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
